name,sweet,fruity,citrus,berry,tropical,stone_fruit,tart,sour,bitter,salty,nutty,creamy,chocolatey,floral,herbal,minty,spicy,caramel,candy_like,dessert_like,freshness,richness,red,blue,green,yellow_orange,purple,white_brown
banana,0.8,0.9,0.0,0.0,0.6,0.5,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.2,0.2,0.0,0.0,0.9,0.0,0.2
blackberry,0.6,0.9,0.0,0.9,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.7,0.0,0.2,0.2,0.0,0.0,0.8,0.0
blue_raspberry,0.9,0.8,0.0,0.7,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cherry,0.75,0.9,0.0,0.3,0.0,0.9,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.9,0.0,0.0,0.0,0.2,0.0
chocolate,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.1,0.7,0.0,0.0,0.0,0.0,0.0,1.0
coconut,0.7,0.7,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.8,0.0,0.5
dark_chocolate,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0
grapefruit,0.5,0.9,1.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0
apple_smoothie_mix,0.7,0.9,0.0,0.0,0.0,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hazelnut,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,1.0
honey,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.5,0.4,0.4,0.0,0.0,0.0,0.9,0.0,0.8
irish_cream,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.9,0.4,0.2,0.0,0.0,0.0,0.0,0.5,0.7,0.2,0.7,0.0,0.0,0.0,0.0,0.0,1.0
kiwi,0.6,0.9,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lavender,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.5,0.0,0.0,0.0,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lemon,0.5,0.9,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
lime,0.5,0.9,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mango_smoothie_mix,0.9,0.9,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0
orange,0.7,0.9,1.0,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
